date,app_category,usage_phone (min),usage_mac (min)
2024-01-23,browser,10.816666666666666,124.8
2024-01-23,communication,5.966666666666667,3.5
2024-01-23,dasher,0.0,0.0
2024-01-23,data entry,12.383333333333333,0.0
2024-01-23,finance,1.1833333333333333,0.0
2024-01-23,games,0.0,0.0
2024-01-23,journal,6.833333333333333,0.0
2024-01-23,maps,7.833333333333333,0.0
2024-01-23,music,0.0,0.0
2024-01-23,news,1.8333333333333333,0.0
2024-01-23,other,4.183333333333334,0.0
2024-01-23,photo,0.016666666666666666,0.0
2024-01-23,productivity,6.65,120.64999999999999
2024-01-23,reference,3.966666666666667,0.0
2024-01-23,shopping,1.5833333333333333,0.0
2024-01-23,social,10.1,0.0
2024-01-23,streaming,24.833333333333336,0.0
2024-01-23,utilities,0.2833333333333333,0.0
2024-01-23,youtube,0.0,0.0
2024-01-24,browser,0.8500000000000001,150.51666666666665
2024-01-24,communication,3.8166666666666664,1.8833333333333335
2024-01-24,dasher,0.0,0.0
2024-01-24,data entry,4.533333333333333,0.0
2024-01-24,finance,0.0,0.0
2024-01-24,games,0.0,0.0
2024-01-24,journal,0.0,0.0
2024-01-24,maps,3.3333333333333335,0.0
2024-01-24,music,1.4333333333333333,0.0
2024-01-24,news,7.916666666666666,0.0
2024-01-24,other,2.4833333333333334,0.0
2024-01-24,photo,0.23333333333333334,0.0
2024-01-24,productivity,3.6833333333333336,144.35
2024-01-24,reference,3.0166666666666666,0.0
2024-01-24,shopping,1.0833333333333333,0.0
2024-01-24,social,10.25,0.0
2024-01-24,streaming,0.0,0.0
2024-01-24,utilities,1.8166666666666667,0.0
2024-01-24,youtube,0.0,0.0
2024-01-25,browser,3.433333333333333,311.3833333333333
2024-01-25,communication,3.0166666666666666,0.05
2024-01-25,dasher,0.0,0.0
2024-01-25,data entry,1.4333333333333333,0.0
2024-01-25,finance,0.0,0.0
2024-01-25,games,0.0,0.0
2024-01-25,journal,0.0,0.0
2024-01-25,maps,2.85,0.0
2024-01-25,music,2.4,0.0
2024-01-25,news,15.766666666666667,0.0
2024-01-25,other,7.016666666666667,0.0
2024-01-25,photo,0.03333333333333333,0.0
2024-01-25,productivity,6.216666666666667,148.63333333333333
2024-01-25,reference,3.6,0.0
2024-01-25,shopping,0.0,0.0
2024-01-25,social,2.9333333333333336,0.0
2024-01-25,streaming,0.0,0.0
2024-01-25,utilities,0.45,0.0
2024-01-25,youtube,0.0,0.0
2024-01-26,browser,0.0,160.55
2024-01-26,communication,0.0,2.1
2024-01-26,dasher,0.0,0.0
2024-01-26,data entry,0.0,0.0
2024-01-26,finance,0.0,0.0
2024-01-26,games,0.0,0.0
2024-01-26,journal,0.0,0.0
2024-01-26,maps,0.25,0.0
2024-01-26,music,0.0,0.0
2024-01-26,news,0.0,0.0
2024-01-26,other,3.8166666666666664,0.0
2024-01-26,photo,0.03333333333333333,0.0
2024-01-26,productivity,0.0,47.31666666666667
2024-01-26,reference,0.2,0.0
2024-01-26,shopping,0.0,0.0
2024-01-26,social,0.0,0.0
2024-01-26,streaming,0.0,0.0
2024-01-26,utilities,0.0,0.0
2024-01-26,youtube,0.0,0.0
2024-01-27,browser,0.75,168.8
2024-01-27,communication,4.133333333333333,2.9833333333333334
2024-01-27,dasher,0.0,0.0
2024-01-27,data entry,8.4,0.0
2024-01-27,finance,1.0166666666666666,0.0
2024-01-27,games,0.0,0.0
2024-01-27,journal,0.0,0.0
2024-01-27,maps,0.0,0.0
2024-01-27,music,1.2833333333333332,0.35
2024-01-27,news,0.0,0.0
2024-01-27,other,5.883333333333334,0.0
2024-01-27,photo,0.39999999999999997,0.0
2024-01-27,productivity,0.3333333333333333,46.43333333333334
2024-01-27,reference,2.1833333333333336,0.31666666666666665
2024-01-27,shopping,0.0,0.0
2024-01-27,social,26.35,0.0
2024-01-27,streaming,24.916666666666668,0.0
2024-01-27,utilities,0.0,0.0
2024-01-27,youtube,0.0,0.0
2024-01-28,browser,0.0,151.1
2024-01-28,communication,14.383333333333333,17.28333333333333
2024-01-28,dasher,0.0,0.0
2024-01-28,data entry,5.333333333333333,0.0
2024-01-28,finance,2.6833333333333336,0.0
2024-01-28,games,0.0,0.0
2024-01-28,journal,0.26666666666666666,0.0
2024-01-28,maps,13.0,0.0
2024-01-28,music,4.616666666666666,0.0
2024-01-28,news,4.75,0.0
2024-01-28,other,5.516666666666667,0.2
2024-01-28,photo,0.13333333333333333,0.0
2024-01-28,productivity,3.716666666666667,61.75
2024-01-28,reference,6.816666666666666,0.0
2024-01-28,shopping,0.0,0.0
2024-01-28,social,48.8,0.0
2024-01-28,streaming,32.96666666666667,0.0
2024-01-28,utilities,0.4666666666666667,0.0
2024-01-28,youtube,7.866666666666666,0.0
2024-01-29,browser,8.233333333333333,71.83333333333333
2024-01-29,communication,11.0,0.9166666666666666
2024-01-29,dasher,0.0,0.0
2024-01-29,data entry,3.3666666666666667,0.0
2024-01-29,finance,0.0,0.0
2024-01-29,games,0.0,0.0
2024-01-29,journal,0.0,0.0
2024-01-29,maps,5.583333333333333,0.0
2024-01-29,music,0.5833333333333333,0.0
2024-01-29,news,1.05,0.0
2024-01-29,other,1.75,0.0
2024-01-29,photo,0.3,0.16666666666666666
2024-01-29,productivity,2.316666666666667,87.23333333333333
2024-01-29,reference,6.949999999999999,0.0
2024-01-29,shopping,3.3666666666666667,0.0
2024-01-29,social,20.133333333333333,0.0
2024-01-29,streaming,31.733333333333334,0.0
2024-01-29,utilities,0.9,0.21666666666666667
2024-01-29,youtube,42.800000000000004,0.0
2024-01-30,browser,9.783333333333335,209.28333333333333
2024-01-30,communication,6.666666666666667,0.05
2024-01-30,dasher,0.0,0.0
2024-01-30,data entry,0.85,0.0
2024-01-30,finance,1.9666666666666668,0.0
2024-01-30,games,0.0,0.0
2024-01-30,journal,0.0,0.0
2024-01-30,maps,6.666666666666667,0.0
2024-01-30,music,0.0,0.0
2024-01-30,news,4.383333333333334,0.0
2024-01-30,other,1.4166666666666665,0.0
2024-01-30,photo,0.5666666666666667,0.0
2024-01-30,productivity,7.266666666666667,67.86666666666666
2024-01-30,reference,1.15,0.0
2024-01-30,shopping,0.0,0.0
2024-01-30,social,0.0,0.0
2024-01-30,streaming,25.266666666666666,0.0
2024-01-30,utilities,0.0,0.8
2024-01-30,youtube,56.35,0.0
2024-01-31,browser,1.9333333333333331,153.1
2024-01-31,communication,19.583333333333332,0.13333333333333333
2024-01-31,dasher,0.0,0.0
2024-01-31,data entry,0.0,0.0
2024-01-31,finance,0.0,0.0
2024-01-31,games,0.0,0.0
2024-01-31,journal,0.0,0.0
2024-01-31,maps,1.1166666666666667,0.0
2024-01-31,music,0.0,0.0
2024-01-31,news,32.6,0.0
2024-01-31,other,1.7166666666666666,0.0
2024-01-31,photo,0.0,0.0
2024-01-31,productivity,7.4,140.1
2024-01-31,reference,1.9833333333333334,0.0
2024-01-31,shopping,0.0,0.0
2024-01-31,social,0.0,0.0
2024-01-31,streaming,33.483333333333334,0.0
2024-01-31,utilities,0.33333333333333337,0.0
2024-01-31,youtube,0.0,0.0
2024-02-01,browser,1.2999999999999998,156.05
2024-02-01,communication,0.8833333333333333,0.0
2024-02-01,dasher,0.0,0.0
2024-02-01,data entry,4.033333333333333,0.0
2024-02-01,finance,5.966666666666667,0.0
2024-02-01,games,0.0,0.0
2024-02-01,journal,0.8333333333333334,0.0
2024-02-01,maps,0.0,0.0
2024-02-01,music,0.41666666666666663,0.0
2024-02-01,news,0.0,0.0
2024-02-01,other,0.0,2.3833333333333337
2024-02-01,photo,0.0,0.38333333333333336
2024-02-01,productivity,5.016666666666667,218.08333333333334
2024-02-01,reference,2.2,0.0
2024-02-01,shopping,0.0,0.0
2024-02-01,social,3.0166666666666666,0.0
2024-02-01,streaming,0.0,0.0
2024-02-01,utilities,0.0,0.0
2024-02-01,youtube,0.0,0.0
2024-02-02,browser,8.316666666666666,98.75
2024-02-02,communication,5.316666666666666,7.333333333333332
2024-02-02,dasher,0.0,0.0
2024-02-02,data entry,0.0,0.0
2024-02-02,finance,0.0,0.0
2024-02-02,games,0.0,0.0
2024-02-02,journal,0.0,0.0
2024-02-02,maps,2.2,0.0
2024-02-02,music,0.0,0.0
2024-02-02,news,0.0,0.0
2024-02-02,other,1.35,0.0
2024-02-02,photo,0.0,0.0
2024-02-02,productivity,2.1833333333333336,27.849999999999998
2024-02-02,reference,0.2833333333333333,0.0
2024-02-02,shopping,0.0,0.0
2024-02-02,social,0.0,0.0
2024-02-02,streaming,0.0,0.0
2024-02-02,utilities,1.6833333333333333,0.0
2024-02-02,youtube,0.0,0.0
2024-02-04,browser,0.36666666666666664,129.56666666666666
2024-02-04,communication,2.533333333333333,0.0
2024-02-04,dasher,0.0,0.0
2024-02-04,data entry,3.1,0.0
