Date,iOS Screentime (hrs),Mac Screentime (hrs),Total Screentime (hrs)
2024-01-22,,2.777222222222222,
2024-01-23,1.6411111111111112,4.149166666666667,5.790277777777778
2024-01-24,0.7408333333333333,4.945833333333333,5.6866666666666665
2024-01-25,0.8191666666666667,7.667777777777778,8.486944444444445
2024-01-26,0.07166666666666667,3.4994444444444444,3.571111111111111
2024-01-27,1.2608333333333333,3.6480555555555556,4.908888888888889
2024-01-28,2.5219444444444443,3.838888888888889,6.360833333333334
2024-01-29,2.3344444444444443,2.6727777777777777,5.007222222222222
2024-01-30,2.0388888888888888,4.633333333333334,6.6722222222222225
2024-01-31,1.6691666666666667,4.888888888888889,6.558055555555556
2024-02-01,0.39444444444444443,6.281666666666666,6.676111111111111
2024-02-02,0.35555555555555557,2.232222222222222,2.5877777777777777
2024-02-03,,2.9383333333333335,
2024-02-04,4.6113888888888885,2.272777777777778,6.884166666666666
2024-02-05,1.7974999999999999,3.2866666666666666,5.0841666666666665
2024-02-06,1.093611111111111,5.6963888888888885,6.789999999999999
2024-02-07,2.629722222222222,5.064722222222223,7.694444444444445
2024-02-08,0.5283333333333333,3.162777777777778,3.6911111111111112
2024-02-09,0.45694444444444443,0.9661111111111111,1.4230555555555555
2024-02-10,1.2630555555555556,2.417777777777778,3.680833333333333
2024-02-11,3.387777777777778,4.645833333333333,8.03361111111111
2024-02-12,1.0633333333333332,2.62,3.6833333333333336
2024-02-13,,5.827222222222222,
2024-02-14,,3.1194444444444445,
2024-02-15,,4.188888888888889,
2024-02-16,0.09111111111111111,4.305,4.396111111111111
2024-02-17,0.8258333333333333,2.5316666666666667,3.3575
2024-02-18,1.5819444444444444,3.2375,4.819444444444445
2024-02-19,1.7522222222222223,2.8402777777777777,4.5925
2024-02-20,2.2669444444444444,5.450277777777778,7.717222222222222
2024-02-21,1.3066666666666666,4.993055555555555,6.299722222222222
2024-02-22,,3.0255555555555556,
2024-02-23,0.23777777777777778,3.1069444444444443,3.344722222222222
2024-02-24,1.2041666666666666,6.289444444444444,7.493611111111111
2024-02-25,,5.818611111111111,
2024-02-26,1.4897222222222222,3.5830555555555557,5.072777777777778
2024-02-27,0.04,5.3825,5.4225
2024-02-28,1.1108333333333333,2.4205555555555556,3.531388888888889
2024-02-29,0.9333333333333333,6.353055555555556,7.286388888888889
2024-03-01,0.8861111111111111,3.243888888888889,4.13
2024-03-02,,3.845833333333333,
2024-03-03,0.22,3.161388888888889,3.381388888888889
2024-03-04,0.6158333333333333,5.72,6.335833333333333
2024-03-05,,4.935277777777777,
2024-03-06,,4.723333333333334,
2024-03-07,0.9163888888888889,7.034166666666667,7.950555555555556
2024-03-08,,1.8016666666666665,
2024-03-09,,2.7444444444444445,
2024-03-10,,2.245,
2024-03-11,0.12777777777777777,2.2455555555555557,2.3733333333333335
2024-03-12,0.20194444444444445,2.6616666666666666,2.863611111111111
2024-03-13,1.6319444444444444,1.1916666666666667,2.823611111111111
2024-03-14,1.4213888888888888,6.189444444444445,7.610833333333334
2024-03-15,,3.140277777777778,
2024-03-16,,1.8047222222222223,
2024-03-17,,1.0680555555555555,
2024-03-18,1.3805555555555555,6.16,7.540555555555556
2024-03-19,1.8483333333333334,7.831388888888889,9.679722222222223
2024-03-20,0.5638888888888889,5.130833333333333,5.6947222222222225
2024-03-21,1.786111111111111,7.128611111111111,8.914722222222222
2024-03-22,,2.855,
2024-03-24,,2.786388888888889,
2024-03-25,,4.420277777777778,
2024-03-26,1.3105555555555555,6.459722222222222,7.770277777777777
2024-03-27,0.885,8.00388888888889,8.88888888888889
2024-03-28,1.0094444444444444,7.6625000000000005,8.671944444444446
2024-03-29,0.8366666666666667,2.886111111111111,3.722777777777778
2024-03-30,2.03,2.83,4.859999999999999
2024-03-31,0.8619444444444444,1.5055555555555555,2.3674999999999997
2024-04-01,0.006944444444444444,5.1594444444444445,5.166388888888889
2024-04-02,1.3605555555555555,7.506111111111111,8.866666666666667
2024-04-03,0.38472222222222224,6.271388888888889,6.656111111111111
2024-04-04,0.7063888888888888,4.776388888888889,5.482777777777778
2024-04-05,,1.5069444444444444,
2024-04-06,,4.238888888888889,
2024-04-07,1.5158333333333334,4.5175,6.033333333333333
2024-04-08,1.343611111111111,3.2591666666666668,4.602777777777778
2024-04-09,,7.340833333333333,
2024-04-10,,4.896388888888889,
2024-04-11,0.0008333333333333334,6.593055555555556,6.593888888888889
2024-04-12,0.04638888888888889,7.8525,7.898888888888889
2024-04-13,0.8752777777777778,2.6555555555555554,3.5308333333333333
2024-04-14,2.238611111111111,4.8838888888888885,7.1225
2024-04-15,0.9199999999999999,5.579444444444444,6.499444444444444
2024-04-16,1.04,7.341388888888889,8.381388888888889
2024-04-17,0.3630555555555556,7.620555555555556,7.983611111111111
2024-04-18,0.7497222222222222,8.341111111111111,9.090833333333332
2024-04-19,0.6561111111111111,2.591944444444444,3.2480555555555553
2024-04-20,0.29944444444444446,5.291944444444444,5.591388888888888
2024-04-21,0.6822222222222222,4.754722222222222,5.436944444444444
2024-04-22,0.08833333333333333,4.133055555555556,4.221388888888889
2024-04-23,0.34833333333333333,8.5025,8.850833333333332
2024-04-24,0.37666666666666665,7.470833333333333,7.8475
2024-04-25,0.4230555555555556,7.4816666666666665,7.904722222222222
2024-04-26,0.25583333333333336,5.727222222222222,5.983055555555556
2024-04-27,0.009444444444444445,3.438888888888889,3.4483333333333337
2024-04-28,0.5744444444444444,6.466111111111111,7.040555555555556
2024-04-29,0.4625,1.0530555555555554,1.5155555555555553
2024-04-30,0.6405555555555555,,
