app,usage,start_time,end_time,created_at,tz,device_id,device_model
com.apple.finder,3,1726606890,1726606893,1726606893.116374,-18000,,
com.apple.Terminal,10,1726606880,1726606890,1726606890.832619,-18000,,
com.apple.finder,1,1726606879,1726606880,1726606880.137954,-18000,,
com.apple.Terminal,8,1726606871,1726606879,1726606879.16186,-18000,,
com.apple.finder,12,1726606859,1726606871,1726606871.5884929,-18000,,
com.google.Chrome,5,1726606854,1726606859,1726606859.8420749,-18000,,
com.google.Chrome,302,1726606344,1726606646,1726606646.741169,-18000,,
com.leomehlig.today,8,1726606336,1726606344,1726606344.4042358,-18000,,
com.google.Chrome,5,1726606331,1726606336,1726606336.417519,-18000,,
com.leomehlig.today,99,1726606232,1726606331,1726606331.9687018,-18000,,
com.google.Chrome,14,1726606218,1726606232,1726606232.7802181,-18000,,
com.leomehlig.today,3,1726606215,1726606218,1726606218.161003,-18000,,
com.google.Chrome,7,1726606208,1726606215,1726606215.398128,-18000,,
com.apple.iCal,1,1726606207,1726606208,1726606208.69804,-18000,,
com.leomehlig.today,5,1726606202,1726606207,1726606207.1484861,-18000,,
com.google.Chrome,54,1726606148,1726606202,1726606202.162932,-18000,,
com.leomehlig.today,17,1726606131,1726606148,1726606148.969012,-18000,,
com.google.Chrome,145,1726605986,1726606131,1726606131.515163,-18000,,
com.leomehlig.today,20,1726605966,1726605986,1726605986.169337,-18000,,
com.google.Chrome,305,1726605661,1726605966,1726605966.249593,-18000,,
com.leomehlig.today,43,1726605618,1726605661,1726605661.758412,-18000,,
com.apple.iCal,15,1726605603,1726605618,1726605618.182763,-18000,,
com.google.Chrome,24,1726605579,1726605603,1726605603.346144,-18000,,
com.apple.iCal,2,1726605563,1726605565,1726605565.197812,-18000,,
com.leomehlig.today,3,1726605560,1726605563,1726605563.118734,-18000,,
com.leomehlig.today,80,1726595794,1726595874,1726595874.840973,-18000,,
com.google.Chrome,12,1726595782,1726595794,1726595794.521898,-18000,,
com.hnc.Discord,12,1726595770,1726595782,1726595782.964448,-18000,,
com.hnc.Discord,524,1726594407,1726594931,1726594931.086588,-18000,,
com.google.Chrome,21,1726594386,1726594407,1726594407.856025,-18000,,
com.google.Chrome,300,1726594067,1726594367,1726594367.995346,-18000,,
com.google.Chrome,2421,1726589461,1726591882,1726591882.267823,-18000,,
com.google.Chrome,7,1726588192,1726588199,1726588199.852876,-18000,,
com.microsoft.onenote.mac,4,1726588188,1726588192,1726588192.985965,-18000,,
com.google.Chrome,1,1726588187,1726588188,1726588188.1398668,-18000,,
com.apple.dt.Xcode,3,1726588184,1726588187,1726588187.1620312,-18000,,
com.google.Chrome,1,1726588183,1726588184,1726588184.0662088,-18000,,
com.google.android.studio,40,1726588143,1726588183,1726588183.673335,-18000,,
com.google.Chrome,46,1726588097,1726588143,1726588143.5217109,-18000,,
com.google.android.studio,262,1726587835,1726588097,1726588097.846754,-18000,,
com.microsoft.onenote.mac,5,1726587830,1726587835,1726587835.946377,-18000,,
com.google.android.studio,53,1726587777,1726587830,1726587830.5366921,-18000,,
com.apple.dt.Xcode,92,1726587641,1726587733,1726587733.484068,-18000,,
com.microsoft.onenote.mac,8,1726587633,1726587641,1726587641.068815,-18000,,
com.apple.dt.Xcode,79,1726587554,1726587633,1726587633.415207,-18000,,
com.google.Chrome,65,1726587489,1726587554,1726587554.4846401,-18000,,
com.apple.dt.Xcode,143,1726587346,1726587489,1726587489.68993,-18000,,
com.microsoft.onenote.mac,10,1726587336,1726587346,1726587346.808442,-18000,,
com.apple.dt.Xcode,275,1726587061,1726587336,1726587337.000842,-18000,,
com.microsoft.onenote.mac,12,1726587049,1726587061,1726587061.4484549,-18000,,
com.apple.systempreferences,1,1726587044,1726587045,1726587045.726752,-18000,,
com.microsoft.onenote.mac,2,1726587041,1726587043,1726587043.265486,-18000,,
com.google.Chrome,26,1726587015,1726587041,1726587041.645277,-18000,,
com.google.Chrome,20,1726586605,1726586625,1726586625.21222,-18000,,
com.leomehlig.today,11,1726586594,1726586605,1726586605.26199,-18000,,
com.google.Chrome,199,1726586395,1726586594,1726586595.021947,-18000,,
com.apple.finder,41,1726586354,1726586395,1726586396.016141,-18000,,
com.apple.Preview,3,1726586351,1726586354,1726586354.7215528,-18000,,
com.google.Chrome,5,1726586346,1726586351,1726586351.531024,-18000,,
com.apple.finder,12,1726586334,1726586346,1726586346.1909518,-18000,,
com.google.Chrome,8,1726586326,1726586334,1726586334.083195,-18000,,
com.apple.finder,51,1726586275,1726586326,1726586326.129129,-18000,,
com.google.Chrome,41,1726586234,1726586275,1726586275.061892,-18000,,
com.microsoft.VSCode,5,1726586229,1726586234,1726586234.859827,-18000,,
com.apple.Preview,39,1726586190,1726586229,1726586229.74654,-18000,,
com.microsoft.VSCode,93,1726586097,1726586190,1726586190.690371,-18000,,
com.apple.Preview,36,1726586061,1726586097,1726586097.9022121,-18000,,
com.microsoft.VSCode,26,1726586035,1726586061,1726586061.8500218,-18000,,
com.google.Chrome,8,1726586027,1726586035,1726586035.213797,-18000,,
com.microsoft.VSCode,87,1726585940,1726586027,1726586027.194854,-18000,,
com.google.Chrome,2,1726585938,1726585940,1726585940.151326,-18000,,
com.microsoft.VSCode,5,1726585933,1726585938,1726585938.9112968,-18000,,
com.google.Chrome,4,1726585929,1726585933,1726585933.356841,-18000,,
com.microsoft.VSCode,6,1726585923,1726585929,1726585929.473933,-18000,,
com.google.Chrome,5,1726585918,1726585923,1726585923.325066,-18000,,
com.microsoft.VSCode,16,1726585902,1726585918,1726585918.894184,-18000,,
com.google.Chrome,30,1726585872,1726585902,1726585902.076644,-18000,,
com.microsoft.VSCode,18,1726585854,1726585872,1726585872.055139,-18000,,
com.google.Chrome,2,1726585852,1726585854,1726585854.4388251,-18000,,
com.microsoft.VSCode,11,1726585841,1726585852,1726585852.5396,-18000,,
