app,usage,start_time,end_time,created_at,tz,device_id,device_model
com.apple.finder,3,1752110682,1752110685,1752110685.373122,-18000,,
com.apple.Terminal,1,1752110681,1752110682,1752110682.4487271,-18000,,
com.apple.finder,12,1752110669,1752110681,1752110681.224565,-18000,,
com.microsoft.VSCode,3,1752110666,1752110669,1752110669.29473,-18000,,
com.tableausoftware.tableaudesktop,86,1752110580,1752110666,1752110666.81916,-18000,,
com.microsoft.VSCode,2,1752110578,1752110580,1752110580.728071,-18000,,
com.tableausoftware.tableaudesktop,583,1752109995,1752110578,1752110578.1818829,-18000,,
com.microsoft.VSCode,54,1752109941,1752109995,1752109995.65169,-18000,,
com.apple.finder,6,1752109935,1752109941,1752109941.1139588,-18000,,
com.leomehlig.today,7,1752109928,1752109935,1752109935.855915,-18000,,
com.apple.Music,31,1752109897,1752109928,1752109929.04508,-18000,,
com.apple.Music,944,1752107360,1752108304,1752108304.449057,-18000,,
com.leomehlig.today,8,1752107352,1752107360,1752107360.4932199,-18000,,
com.google.Chrome,3,1752107349,1752107352,1752107352.604844,-18000,,
com.apple.Music,6,1752107343,1752107349,1752107349.868103,-18000,,
com.microsoft.VSCode,267,1752107076,1752107343,1752107344.163842,-18000,,
com.apple.Music,15,1752107061,1752107076,1752107076.7833462,-18000,,
com.microsoft.VSCode,741,1752106320,1752107061,1752107061.698647,-18000,,
com.apple.Music,28,1752106292,1752106320,1752106320.621529,-18000,,
com.microsoft.VSCode,2250,1752104042,1752106292,1752106292.759759,-18000,,
com.apple.Music,42,1752104000,1752104042,1752104042.8406239,-18000,,
com.google.Chrome,1,1752103999,1752104000,1752104000.538179,-18000,,
com.apple.Music,3,1752103996,1752103999,1752103999.153769,-18000,,
com.microsoft.VSCode,15,1752103981,1752103996,1752103996.593579,-18000,,
com.google.Chrome,13,1752103968,1752103981,1752103981.466253,-18000,,
com.apple.finder,4,1752103964,1752103968,1752103968.496222,-18000,,
com.google.Chrome,6,1752103958,1752103964,1752103964.3307772,-18000,,
com.google.Chrome,12,1752100620,1752100632,1752100632.18429,-18000,,
com.apple.finder,4,1752100616,1752100620,1752100620.9074202,-18000,,
com.apple.Notes,54,1752100562,1752100616,1752100616.3966951,-18000,,
com.apple.finder,19,1752100543,1752100562,1752100562.5071049,-18000,,
com.leomehlig.today,43,1752100500,1752100543,1752100543.398493,-18000,,
com.google.Chrome,288,1752100212,1752100500,1752100500.9393082,-18000,,
