app,usage,start_time,end_time,created_at,tz,device_id,device_model
com.apple.finder,115,1739547641,1739547756,1739547756.1730108,-21600,,
com.google.Chrome,175,1739547466,1739547641,1739547641.8392649,-21600,,
com.microsoft.VSCode,14,1739547393,1739547407,1739547407.043123,-21600,,
com.google.Chrome,331,1739547062,1739547393,1739547393.432969,-21600,,
com.microsoft.VSCode,3,1739546975,1739546978,1739546978.1184402,-21600,,
com.microsoft.VSCode,484,1739545311,1739545795,1739545795.6804051,-21600,,
com.google.Chrome,48,1739545263,1739545311,1739545311.822452,-21600,,
com.microsoft.VSCode,77,1739545186,1739545263,1739545263.652285,-21600,,
com.leomehlig.today,3,1739545183,1739545186,1739545186.633508,-21600,,
com.apple.news,91,1739545092,1739545183,1739545183.910181,-21600,,
com.leomehlig.today,21,1739545071,1739545092,1739545092.4331179,-21600,,
com.apple.finder,1,1739545070,1739545071,1739545071.8532891,-21600,,
com.apple.finder,1,1739501362,1739501363,1739501363.776927,-21600,,
com.google.Chrome,1,1739501361,1739501362,1739501362.199393,-21600,,
com.apple.finder,1,1739501360,1739501361,1739501361.430176,-21600,,
com.leomehlig.today,98,1739501262,1739501360,1739501360.179461,-21600,,
com.apple.iCal,9,1739501253,1739501262,1739501262.8199558,-21600,,
com.leomehlig.today,33,1739501220,1739501253,1739501254.010727,-21600,,
com.apple.MobileSMS,7,1739501213,1739501220,1739501220.102608,-21600,,
com.apple.MobileSMS,52,1739501000,1739501052,1739501052.720653,-21600,,
com.leomehlig.today,13,1739500987,1739501000,1739501000.266712,-21600,,
com.microsoft.VSCode,8,1739500979,1739500987,1739500987.522918,-21600,,
com.google.Chrome,54,1739500925,1739500979,1739500979.4103389,-21600,,
com.microsoft.VSCode,1,1739500924,1739500925,1739500925.6337461,-21600,,
com.google.Chrome,7,1739500917,1739500924,1739500924.1084142,-21600,,
com.microsoft.VSCode,320,1739500597,1739500917,1739500917.62293,-21600,,
com.google.Chrome,17,1739500580,1739500597,1739500597.223671,-21600,,
com.microsoft.VSCode,39,1739500541,1739500580,1739500580.9484491,-21600,,
com.google.Chrome,4,1739500537,1739500541,1739500541.599752,-21600,,
com.microsoft.VSCode,664,1739499873,1739500537,1739500537.386005,-21600,,
com.google.Chrome,25,1739499848,1739499873,1739499873.136056,-21600,,
com.microsoft.VSCode,300,1739499548,1739499848,1739499848.682623,-21600,,
com.google.Chrome,4,1739499544,1739499548,1739499548.781258,-21600,,
com.microsoft.VSCode,31,1739499513,1739499544,1739499544.360458,-21600,,
com.google.Chrome,1,1739499512,1739499513,1739499513.950035,-21600,,
com.microsoft.VSCode,10,1739499502,1739499512,1739499512.721535,-21600,,
com.google.Chrome,4,1739499498,1739499502,1739499502.1641011,-21600,,
com.microsoft.VSCode,5,1739499493,1739499498,1739499498.46799,-21600,,
com.google.Chrome,1,1739499492,1739499493,1739499493.849691,-21600,,
com.microsoft.VSCode,3,1739499489,1739499492,1739499492.663219,-21600,,
com.google.Chrome,1,1739499488,1739499489,1739499489.556305,-21600,,
com.microsoft.VSCode,5,1739499483,1739499488,1739499488.410265,-21600,,
com.google.Chrome,3,1739499480,1739499483,1739499483.3432431,-21600,,
com.microsoft.VSCode,10,1739499470,1739499480,1739499480.7621598,-21600,,
com.google.Chrome,1,1739499469,1739499470,1739499470.207705,-21600,,
com.microsoft.VSCode,1,1739499468,1739499469,1739499469.538363,-21600,,
com.leomehlig.today,2,1739499466,1739499468,1739499468.578372,-21600,,
com.google.Chrome,84,1739499382,1739499466,1739499466.939849,-21600,,
com.leomehlig.today,7,1739499375,1739499382,1739499382.7049289,-21600,,
com.google.Chrome,3,1739499372,1739499375,1739499375.7577028,-21600,,
com.microsoft.VSCode,35,1739499337,1739499372,1739499372.164002,-21600,,
com.google.Chrome,2,1739499335,1739499337,1739499337.507556,-21600,,
com.microsoft.VSCode,9,1739499326,1739499335,1739499335.875505,-21600,,
com.google.Chrome,1,1739499325,1739499326,1739499326.148501,-21600,,
com.microsoft.VSCode,2,1739499323,1739499325,1739499325.331475,-21600,,
com.google.Chrome,1,1739499322,1739499323,1739499323.632903,-21600,,
com.microsoft.VSCode,8,1739499314,1739499322,1739499322.8146129,-21600,,
com.google.Chrome,4,1739499310,1739499314,1739499314.7124581,-21600,,
com.microsoft.VSCode,5,1739499305,1739499310,1739499311.020124,-21600,,
com.google.Chrome,2,1739499303,1739499305,1739499305.558347,-21600,,
com.microsoft.VSCode,13,1739499290,1739499303,1739499303.91557,-21600,,
com.google.Chrome,5,1739499285,1739499290,1739499290.965069,-21600,,
com.microsoft.VSCode,1,1739499284,1739499285,1739499285.649931,-21600,,
com.google.Chrome,1,1739499283,1739499284,1739499284.660631,-21600,,
com.microsoft.VSCode,2,1739499281,1739499283,1739499283.857661,-21600,,
com.google.Chrome,0,1739499281,1739499281,1739499281.801597,-21600,,
com.microsoft.VSCode,3,1739499278,1739499281,1739499281.1166282,-21600,,
com.google.Chrome,2,1739499276,1739499278,1739499278.686657,-21600,,
com.microsoft.VSCode,5,1739499271,1739499276,1739499276.824096,-21600,,
com.google.Chrome,3,1739499268,1739499271,1739499271.444594,-21600,,
com.microsoft.VSCode,7,1739499261,1739499268,1739499268.1330972,-21600,,
com.google.Chrome,8,1739499253,1739499261,1739499262.072105,-21600,,
com.microsoft.VSCode,7,1739499246,1739499253,1739499253.724472,-21600,,
com.google.Chrome,2,1739499244,1739499246,1739499246.046442,-21600,,
com.microsoft.VSCode,76,1739499168,1739499244,1739499244.390439,-21600,,
com.google.Chrome,0,1739499168,1739499168,1739499168.5230122,-21600,,
com.microsoft.VSCode,55,1739499113,1739499168,1739499168.070648,-21600,,
com.google.Chrome,1,1739499112,1739499113,1739499113.899146,-21600,,
com.microsoft.VSCode,4,1739499108,1739499112,1739499112.73525,-21600,,
com.google.Chrome,10,1739499098,1739499108,1739499108.327275,-21600,,
com.microsoft.VSCode,35,1739499063,1739499098,1739499099.001204,-21600,,
com.google.Chrome,3,1739499060,1739499063,1739499063.246741,-21600,,
com.microsoft.VSCode,3,1739499057,1739499060,1739499060.849986,-21600,,
com.google.Chrome,21,1739499036,1739499057,1739499057.327413,-21600,,
com.microsoft.VSCode,200,1739498836,1739499036,1739499036.625081,-21600,,
com.apple.Dictionary,0,1739498836,1739498836,1739498836.850528,-21600,,
com.microsoft.VSCode,2,1739498834,1739498836,1739498836.184727,-21600,,
com.apple.Dictionary,2,1739498832,1739498834,1739498834.19033,-21600,,
com.microsoft.VSCode,32,1739498800,1739498832,1739498832.745986,-21600,,
com.google.Chrome,4,1739498796,1739498800,1739498800.769424,-21600,,
com.microsoft.VSCode,31,1739498765,1739498796,1739498796.9308639,-21600,,
com.google.Chrome,2,1739498763,1739498765,1739498765.0856519,-21600,,
com.microsoft.VSCode,3,1739498760,1739498763,1739498763.597557,-21600,,
com.google.Chrome,43,1739498717,1739498760,1739498760.2024431,-21600,,
com.microsoft.VSCode,273,1739498444,1739498717,1739498717.9079041,-21600,,
com.google.Chrome,3,1739498441,1739498444,1739498444.484892,-21600,,
com.microsoft.VSCode,8,1739498433,1739498441,1739498441.677182,-21600,,
com.google.Chrome,4,1739498429,1739498433,1739498433.395778,-21600,,
com.microsoft.VSCode,48,1739498381,1739498429,1739498429.0735888,-21600,,
com.google.Chrome,169,1739498212,1739498381,1739498381.070959,-21600,,
com.microsoft.VSCode,12,1739498200,1739498212,1739498212.384237,-21600,,
com.google.Chrome,85,1739498115,1739498200,1739498200.908256,-21600,,
com.microsoft.VSCode,73,1739498042,1739498115,1739498115.878734,-21600,,
com.google.Chrome,34,1739498008,1739498042,1739498042.723768,-21600,,
com.microsoft.VSCode,6,1739498002,1739498008,1739498008.396601,-21600,,
com.leomehlig.today,12,1739497990,1739498002,1739498002.381681,-21600,,
com.microsoft.VSCode,1,1739497989,1739497990,1739497990.267638,-21600,,
com.leomehlig.today,23,1739497966,1739497989,1739497989.541357,-21600,,
com.microsoft.VSCode,12,1739497954,1739497966,1739497966.875183,-21600,,
com.google.Chrome,19,1739497935,1739497954,1739497954.8640962,-21600,,
com.microsoft.VSCode,13,1739497922,1739497935,1739497935.700324,-21600,,
com.google.Chrome,17,1739497905,1739497922,1739497922.29899,-21600,,
com.microsoft.VSCode,23,1739497882,1739497905,1739497905.6957731,-21600,,
com.google.Chrome,1,1739497881,1739497882,1739497882.723819,-21600,,
com.microsoft.VSCode,12,1739497869,1739497881,1739497881.628708,-21600,,
com.google.Chrome,8,1739497861,1739497869,1739497869.223505,-21600,,
com.microsoft.VSCode,202,1739497659,1739497861,1739497861.682971,-21600,,
com.google.Chrome,4,1739497655,1739497659,1739497659.326312,-21600,,
com.microsoft.VSCode,20,1739497635,1739497655,1739497655.241823,-21600,,
