app,usage,start_time,end_time,created_at,tz,device_id,device_model
com.apple.finder,3,1722822150,1722822153,1722822153.321301,-18000,,
com.google.Chrome,27,1722822123,1722822150,1722822150.995019,-18000,,
com.apple.finder,13,1722822110,1722822123,1722822123.515516,-18000,,
com.apple.Terminal,12,1722822098,1722822110,1722822110.954586,-18000,,
com.apple.finder,6,1722822092,1722822098,1722822098.5685868,-18000,,
com.google.Chrome,4,1722822088,1722822092,1722822092.454241,-18000,,
com.apple.Terminal,2,1722822086,1722822088,1722822088.102174,-18000,,
com.google.Chrome,17,1722822069,1722822086,1722822086.573312,-18000,,
com.apple.Terminal,5,1722822064,1722822069,1722822070.036514,-18000,,
com.apple.finder,1,1722822063,1722822064,1722822064.206768,-18000,,
com.google.Chrome,40,1722822023,1722822063,1722822063.336406,-18000,,
com.apple.finder,29,1722821994,1722822023,1722822024.5456429,-18000,,
com.apple.Terminal,1,1722821993,1722821994,1722821994.628635,-18000,,
com.apple.finder,35,1722821958,1722821993,1722821993.633229,-18000,,
com.apple.Terminal,38,1722821920,1722821958,1722821958.589287,-18000,,
com.apple.finder,152,1722821768,1722821920,1722821920.635356,-18000,,
com.google.Chrome,59,1722821709,1722821768,1722821768.1658602,-18000,,
com.apple.finder,8,1722821701,1722821709,1722821710.393066,-18000,,
com.apple.MobileSMS,3,1722821698,1722821701,1722821701.831746,-18000,,
com.apple.finder,9,1722821689,1722821698,1722821698.247373,-18000,,
com.apple.finder,16,1722792579,1722792595,1722792595.146037,-18000,,
com.apple.MobileSMS,3,1722792576,1722792579,1722792579.380867,-18000,,
com.apple.finder,67,1722792509,1722792576,1722792576.052064,-18000,,
com.google.Chrome,5,1722792504,1722792509,1722792509.382371,-18000,,
com.apple.MobileSMS,9,1722792495,1722792504,1722792504.549422,-18000,,
com.google.Chrome,81,1722792414,1722792495,1722792495.094626,-18000,,
com.google.Chrome,582,1722790182,1722790764,1722790764.8489199,-18000,,
com.google.Chrome,2,1722534198,1722534200,1722534201.153919,-14400,,
com.apple.findmy,4,1722534194,1722534198,1722534199.330493,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.findmy,73,1722534017,1722534090,1722534090.1056871,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.findmy,19,1722533849,1722533868,1722533868.752306,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.Chrome,455,1722533701,1722534156,1722534156.961564,-14400,,
com.apple.news,161,1722533686,1722533847,1722533847.203433,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.robinhood.release.Robinhood,10,1722533285,1722533295,1722533295.938066,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.news,51,1722533178,1722533229,1722533229.652718,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.truebill.truebillnative,5,1722533166,1722533171,1722533171.6580749,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.truebill.truebillnative,27,1722533134,1722533161,1722533161.728905,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.Chrome,682,1722532861,1722533543,1722533543.47991,-14400,,
com.truebill.truebillnative,56,1722532789,1722532845,1722532845.630484,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.news,18,1722532764,1722532782,1722532782.810925,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.Chrome,197,1722532538,1722532735,1722532736.003341,-14400,,
com.apple.news,84,1722532350,1722532434,1722532434.4094849,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.findmy,48,1722532278,1722532326,1722532327.0546021,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.valvesoftware.steam,1,1722531364,1722531365,1722531366.441568,-14400,,
com.apple.MobileSMS,6,1722531093,1722531099,1722531099.419664,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.amazon.Amazon,11,1722531082,1722531093,1722531094.054132,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.MobileSMS,2,1722531080,1722531082,1722531082.954613,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.chrome.ios,3,1722529687,1722529690,1722529690.9065099,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.chrome.ios,6,1722529659,1722529665,1722529665.378928,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.chrome.ios,180,1722529474,1722529654,1722529654.714107,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.chrome.ios,98,1722529368,1722529466,1722529466.093832,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.news,3,1722529344,1722529347,1722529347.31397,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.news,49,1722529237,1722529286,1722529286.9759688,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.news,7,1722529152,1722529159,1722529159.296588,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.news,237,1722528903,1722529140,1722529140.7091289,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.Health,5,1722528890,1722528895,1722528895.364582,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.Health,93,1722528730,1722528823,1722528823.319603,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.facebook.Facebook,232,1722528156,1722528388,1722528388.5729818,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.facebook.Facebook,175,1722527910,1722528085,1722528085.954823,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.MobileSMS,3,1722527904,1722527907,1722527907.585906,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.MobileSMS,4,1722527212,1722527216,1722527216.795545,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.Health,31,1722519483,1722519514,1722519514.63443,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.google.Gmail,65,1722519380,1722519445,1722519445.202188,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.Health,13,1722488605,1722488618,1722488618.7123408,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.Health,42,1722488559,1722488601,1722488601.817954,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.journal,1893,1722486662,1722488555,1722488555.755291,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.mobiletimer,4,1722486657,1722486661,1722486661.1269078,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.mobiletimer,13,1722486485,1722486498,1722486498.2061071,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.mobiletimer,18,1722486459,1722486477,1722486477.965028,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
com.apple.MobileSMS,30,1722483368,1722483398,1722483398.6502662,-14400,EB445137-D7F5-57EC-87DA-1DB460D64046,"iPhone13,2"
