app,usage,start_time,end_time,created_at,tz,device_id,device_model
com.apple.finder,13,1742053262,1742053275,1742053275.190628,-18000,,
com.google.Chrome,2,1742053260,1742053262,1742053262.906857,-18000,,
com.google.Chrome,4,1742053223,1742053227,1742053227.244296,-18000,,
com.apple.MobileSMS,1,1742053222,1742053223,1742053223.212072,-18000,,
com.google.Chrome,37,1742053185,1742053222,1742053222.267023,-18000,,
com.apple.MobileSMS,2,1742053183,1742053185,1742053185.973778,-18000,,
com.google.Chrome,34,1742053149,1742053183,1742053183.5523071,-18000,,
com.apple.MobileSMS,2,1742053147,1742053149,1742053149.0690799,-18000,,
com.google.Chrome,4,1742053143,1742053147,1742053147.946399,-18000,,
com.apple.MobileSMS,2,1742053141,1742053143,1742053143.062259,-18000,,
com.google.Chrome,4,1742053137,1742053141,1742053141.875197,-18000,,
com.apple.MobileSMS,2,1742053135,1742053137,1742053137.2542238,-18000,,
com.google.Chrome,9,1742053126,1742053135,1742053135.6081939,-18000,,
com.apple.MobileSMS,1,1742053125,1742053126,1742053126.053595,-18000,,
com.google.Chrome,1,1742053124,1742053125,1742053125.308291,-18000,,
com.apple.MobileSMS,1,1742053123,1742053124,1742053124.6095471,-18000,,
com.google.Chrome,7,1742053116,1742053123,1742053123.927726,-18000,,
com.apple.MobileSMS,4,1742053112,1742053116,1742053116.154039,-18000,,
com.google.Chrome,9,1742053103,1742053112,1742053112.834033,-18000,,
com.apple.MobileSMS,5,1742053098,1742053103,1742053103.230588,-18000,,
com.google.Chrome,20,1742053078,1742053098,1742053098.032578,-18000,,
com.apple.MobileSMS,3,1742053075,1742053078,1742053078.3694758,-18000,,
com.google.Chrome,5,1742053070,1742053075,1742053075.525279,-18000,,
com.apple.MobileSMS,3,1742053067,1742053070,1742053070.3784308,-18000,,
com.google.Chrome,19,1742053048,1742053067,1742053067.634198,-18000,,
com.apple.MobileSMS,1,1742053047,1742053048,1742053048.9035869,-18000,,
com.google.Chrome,9,1742053038,1742053047,1742053047.3429952,-18000,,
com.apple.MobileSMS,4,1742053034,1742053038,1742053038.267425,-18000,,
com.google.Chrome,59,1742052975,1742053034,1742053034.972282,-18000,,
com.apple.MobileSMS,1,1742052974,1742052975,1742052975.574918,-18000,,
com.google.Chrome,1,1742052973,1742052974,1742052974.366149,-18000,,
com.apple.MobileSMS,1,1742052972,1742052973,1742052973.677178,-18000,,
com.google.Chrome,27,1742052945,1742052972,1742052972.4253058,-18000,,
com.apple.MobileSMS,2,1742052943,1742052945,1742052945.130021,-18000,,
com.google.Chrome,65,1742052878,1742052943,1742052943.2590141,-18000,,
com.apple.MobileSMS,1,1742052877,1742052878,1742052878.839153,-18000,,
com.google.Chrome,39,1742052838,1742052877,1742052877.591865,-18000,,
com.apple.MobileSMS,0,1742052838,1742052838,1742052838.672842,-18000,,
com.google.Chrome,1,1742052837,1742052838,1742052838.1579819,-18000,,
com.apple.MobileSMS,1,1742052836,1742052837,1742052837.4791741,-18000,,
com.google.Chrome,3,1742052833,1742052836,1742052836.735664,-18000,,
com.apple.MobileSMS,2,1742052831,1742052833,1742052833.9459372,-18000,,
com.google.Chrome,2,1742052829,1742052831,1742052831.178354,-18000,,
com.apple.MobileSMS,2,1742052827,1742052829,1742052829.32202,-18000,,
com.google.Chrome,0,1742052827,1742052827,1742052828.029436,-18000,,
com.apple.MobileSMS,2,1742052825,1742052827,1742052827.036799,-18000,,
com.google.Chrome,1,1742052824,1742052825,1742052825.877898,-18000,,
com.apple.MobileSMS,1,1742052823,1742052824,1742052824.595443,-18000,,
